file_name,model,instructions,difficulty,run_id,num_valid_years,num_runs,instruction_set,background,format_instructions,timestamp,market_segment,provider,status,year_ended,is_open_source,mask_mode,year_3_agm_units,year_3_agm_price,year_4_agm_units,year_4_agm_price,year_5_agm_units,year_5_agm_price,year_6_agm_units,year_6_agm_price,year_7_agm_units,year_7_agm_price,year_8_agm_units,year_8_agm_price,year_9_agm_units,year_9_agm_price,year_10_agm_units,year_10_agm_price,year_3_supercapacitor_units,year_3_supercapacitor_price,year_4_supercapacitor_units,year_4_supercapacitor_price,year_5_supercapacitor_units,year_5_supercapacitor_price,year_6_supercapacitor_units,year_6_supercapacitor_price,year_7_supercapacitor_units,year_7_supercapacitor_price,year_8_supercapacitor_units,year_8_supercapacitor_price,year_9_supercapacitor_units,year_9_supercapacitor_price,year_10_supercapacitor_units,year_10_supercapacitor_price,best_scores_Name,best_scores_Team,best_scores_Play Date,best_scores_Play #,best_scores_Cumulative Profit,best_scores_Sales Growth (AGM),best_scores_Sales Growth (SC),best_scores_Profitability Trend (AGM),best_scores_Profitability Trend (SC),best_scores_Revenue (AGM),best_scores_Revenue (SC),simulation_summary_Name,simulation_summary_Team,simulation_summary_Play Date,simulation_summary_Play #,simulation_summary_Status,simulation_summary_Cumulative Profit,simulation_summary_Cumulative Revenue,simulation_summary_Revenue Growth Rate (AGM),simulation_summary_Revenue Growth Rate (SC),simulation_summary_Profit Growth Rate (AGM),simulation_summary_Profit Growth Rate (SC),simulation_summary_Unit Sales
claude-3-5-haiku-20240307_masked_20250802_152801.json,anthropic/claude-3-5-haiku-20240307,Please make the requested strategic decisions for the upcoming year based on the information provided.,Advanced,run_1,0,30,default_instructions,,format_instructions.txt,20250802_152801,6,anthropic,Program Error,,False,masked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ryan Allen,Individual,"08/02/25, 03:29 PM MDT",1,$0.0 M,0.0%,0.0%,36.6%,-0.7%,$233.1 M,$61.0 M,Ryan Allen,Individual,"08/02/25, 03:29 PM MDT",1,Playing - Year 3,$0.0 M,$0.0 M,0%,0%,0%,0%,26.36 M
claude-3-5-haiku-20240307_masked_20250802_152801.json,anthropic/claude-3-5-haiku-20240307,Please make the requested strategic decisions for the upcoming year based on the information provided.,Advanced,run_2,0,30,default_instructions,,format_instructions.txt,20250802_152801,6,anthropic,Program Error,,False,masked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ryan Allen,Individual,"08/02/25, 03:32 PM MDT",1,$0.0 M,0.0%,0.0%,36.6%,-0.7%,$233.1 M,$61.0 M,Ryan Allen,Individual,"08/02/25, 03:32 PM MDT",1,Playing - Year 3,$0.0 M,$0.0 M,0%,0%,0%,0%,26.36 M
claude-3-5-haiku-20240307_masked_20250802_152801.json,anthropic/claude-3-5-haiku-20240307,Please make the requested strategic decisions for the upcoming year based on the information provided.,Advanced,run_3,0,30,default_instructions,,format_instructions.txt,20250802_152801,6,anthropic,Program Error,,False,masked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ryan Allen,Individual,"08/02/25, 03:36 PM MDT",1,$0.0 M,0.0%,0.0%,36.6%,-0.7%,$233.1 M,$61.0 M,Ryan Allen,Individual,"08/02/25, 03:36 PM MDT",1,Playing - Year 3,$0.0 M,$0.0 M,0%,0%,0%,0%,26.36 M
claude-3-5-haiku-20240307_masked_20250802_152801.json,anthropic/claude-3-5-haiku-20240307,Please make the requested strategic decisions for the upcoming year based on the information provided.,Advanced,run_4,0,30,default_instructions,,format_instructions.txt,20250802_152801,6,anthropic,Program Error,,False,masked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ryan Allen,Individual,"08/02/25, 03:39 PM MDT",1,$0.0 M,0.0%,0.0%,36.6%,-0.7%,$233.1 M,$61.0 M,Ryan Allen,Individual,"08/02/25, 03:39 PM MDT",1,Playing - Year 3,$0.0 M,$0.0 M,0%,0%,0%,0%,26.36 M
claude-3-5-haiku-20240307_masked_20250802_152801.json,anthropic/claude-3-5-haiku-20240307,Please make the requested strategic decisions for the upcoming year based on the information provided.,Advanced,run_5,0,30,default_instructions,,format_instructions.txt,20250802_152801,6,anthropic,Program Error,,False,masked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ryan Allen,Individual,"08/02/25, 03:43 PM MDT",1,$0.0 M,0.0%,0.0%,0.0%,0.0%,$0.0 M,$0.0 M,Ryan Allen,Individual,"08/02/25, 03:43 PM MDT",1,Playing - Year 1,$0.0 M,$0.0 M,0%,0%,0%,0%,0.00 M
claude-3-5-haiku-20240307_masked_20250802_152801.json,anthropic/claude-3-5-haiku-20240307,Please make the requested strategic decisions for the upcoming year based on the information provided.,Advanced,run_6,0,30,default_instructions,,format_instructions.txt,20250802_152801,6,anthropic,Program Error,,False,masked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ryan Allen,Individual,"08/02/25, 03:46 PM MDT",1,$0.0 M,0.0%,0.0%,36.6%,-0.7%,$233.1 M,$61.0 M,Ryan Allen,Individual,"08/02/25, 03:46 PM MDT",1,Playing - Year 3,$0.0 M,$0.0 M,0%,0%,0%,0%,26.36 M
claude-3-5-haiku-20240307_masked_20250802_152801.json,anthropic/claude-3-5-haiku-20240307,Please make the requested strategic decisions for the upcoming year based on the information provided.,Advanced,run_7,0,30,default_instructions,,format_instructions.txt,20250802_152801,6,anthropic,Program Error,,False,masked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ryan Allen,Individual,"08/02/25, 03:50 PM MDT",1,$0.0 M,0.0%,0.0%,36.7%,-0.9%,$206.8 M,$149.6 M,Ryan Allen,Individual,"08/02/25, 03:50 PM MDT",1,Playing - Year 3,$0.0 M,$0.0 M,0%,0%,0%,0%,28.16 M
claude-3-5-haiku-20240307_masked_20250802_152801.json,anthropic/claude-3-5-haiku-20240307,Please make the requested strategic decisions for the upcoming year based on the information provided.,Advanced,run_8,0,30,default_instructions,,format_instructions.txt,20250802_152801,6,anthropic,Program Error,,False,masked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ryan Allen,Individual,"08/02/25, 03:54 PM MDT",1,$0.0 M,0.0%,0.0%,36.6%,-0.7%,$233.1 M,$61.0 M,Ryan Allen,Individual,"08/02/25, 03:54 PM MDT",1,Playing - Year 3,$0.0 M,$0.0 M,0%,0%,0%,0%,26.36 M
claude-3-5-haiku-20240307_masked_20250802_152801.json,anthropic/claude-3-5-haiku-20240307,Please make the requested strategic decisions for the upcoming year based on the information provided.,Advanced,run_9,0,30,default_instructions,,format_instructions.txt,20250802_152801,6,anthropic,Program Error,,False,masked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ryan Allen,Individual,"08/02/25, 03:58 PM MDT",1,$0.0 M,0.0%,0.0%,36.6%,-0.7%,$233.1 M,$61.0 M,Ryan Allen,Individual,"08/02/25, 03:58 PM MDT",1,Playing - Year 3,$0.0 M,$0.0 M,0%,0%,0%,0%,26.36 M
claude-3-5-haiku-20240307_masked_20250802_152801.json,anthropic/claude-3-5-haiku-20240307,Please make the requested strategic decisions for the upcoming year based on the information provided.,Advanced,run_10,0,30,default_instructions,,format_instructions.txt,20250802_152801,6,anthropic,Program Error,,False,masked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ryan Allen,Individual,"08/02/25, 04:01 PM MDT",1,$0.0 M,0.0%,0.0%,36.6%,-0.7%,$233.1 M,$61.0 M,Ryan Allen,Individual,"08/02/25, 04:01 PM MDT",1,Playing - Year 3,$0.0 M,$0.0 M,0%,0%,0%,0%,26.36 M
